171	189	20
171	169	300
171	165	740
171	132	20
171	224	20
171	220	20
171	164	320
171	163	100
171	125	260
171	161	20
171	162	260
171	137	20
171	166	20
171	79	60
171	34	20
171	152	160
171	151	1220
171	93	20
171	150	60
171	149	120
171	177	60
171	193	20
171	173	300
171	172	180
171	207	20
171	103	20
171	155	20
171	99	80
171	229	60
171	170	60
171	232	20
171	56	20
171	7	20
171	118	20
171	84	40
171	91	60
171	133	20
171	190	20
171	160	100
171	187	40
171	153	60
171	154	460
171	158	160
171	159	180
171	156	80
167	168	60
167	169	40
167	163	20
167	196	20
167	162	20
167	197	180
167	55	20
167	21	20
167	56	120
167	177	20
167	174	120
167	33	80
167	116	100
167	57	280
167	58	60
167	123	60
167	189	460
167	188	100
167	190	240
167	59	420
167	99	40
167	98	40
167	27	80
167	26	20
167	30	20
167	206	40
167	124	20
167	128	140
167	130	140
167	203	20
167	204	140
167	44	40
167	193	2860
167	9	120
167	6	20
167	198	220
167	194	900
167	132	120
167	133	20
167	131	100
167	10	20
167	49	60
167	48	60
167	51	20
167	228	460
167	85	20
167	140	1220
167	1	60
167	136	40
167	135	40
167	137	100
167	139	1020
167	71	100
167	37	40
167	34	20
167	24	20
167	210	40
167	229	20
167	230	20
167	233	20
167	16	20
167	146	60
167	14	40
167	15	20
167	145	140
167	40	20
167	17	40
167	142	260
167	199	20
167	221	100
167	219	20
167	185	40
167	114	20
167	22	20
167	12	40
167	60	40
167	62	20
167	149	40
167	115	40
167	64	340
167	155	60
167	215	60
167	180	20
167	179	520
167	178	60
167	76	20
167	184	20
167	69	120
167	68	40
167	108	20
167	66	60
167	65	20
167	159	60
167	157	20
168	169	20
168	131	20
168	227	20
168	228	40
168	226	40
168	126	20
168	128	80
168	136	20
168	130	600
168	187	20
168	139	40
168	193	140
168	64	100
168	142	60
168	140	40
168	162	20
168	174	60
168	73	180
168	210	20
168	229	20
168	206	1520
168	232	20
168	56	40
168	57	20
168	89	20
168	179	140
168	178	20
168	198	60
168	59	20
168	121	200
168	132	40
168	188	880
168	184	120
168	190	20
168	146	300
168	123	20
168	155	60
168	145	60
168	197	80
168	156	20
168	67	20
169	72	20
169	170	340
169	26	20
169	163	120
169	220	20
169	164	300
